"","X.GENE_SYMBOL","ENTREZ_GENE_ID","EXOMISER_GENE_PHENO_SCORE","EXOMISER_GENE_VARIANT_SCORE","EXOMISER_GENE_COMBINED_SCORE","HUMAN_PHENO_SCORE","MOUSE_PHENO_SCORE","FISH_PHENO_SCORE","WALKER_SCORE","PHIVE_ALL_SPECIES_SCORE","OMIM_SCORE","MATCHES_CANDIDATE_GENE","HUMAN_PHENO_EVIDENCE","MOUSE_PHENO_EVIDENCE","FISH_PHENO_EVIDENCE","HUMAN_PPI_EVIDENCE","MOUSE_PPI_EVIDENCE","FISH_PPI_EVIDENCE"
"126","DNAH11",8701,0.3169,0.9381,0.2012,0,0.1999,0,0.6338,0.6338,0.5,0,"","Methylmalonic aciduria (HP:0012120)-abnormal kidney morphology (MP:0002135), ","","Proximity to RTTN associated with Microcephaly, short stature, and polymicrogyria with seizures (OMIM:614833): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the corpus callosum (HP:0001273), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"127","ST6GALNAC1",55808,0.5007,0.727,0.1967,0,0,0,0.5007,0.5007,1,0,"","","","Proximity to B4GALNT1 associated with Autosomal recessive spastic paraplegia type 26 (ORPHA:101006): Spasticity (HP:0001257)-Lower limb spasticity (HP:0002061), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Cataract (HP:0000518)-Cataract (HP:0000518), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hyperintensity of cerebral white matter on MRI (HP:0030890), Cerebellar atrophy (HP:0001272)-Abnormality of the cerebellum (HP:0001317), ","",""
"128","ABCA2",20,0.5345,0.6828,0.1882,0,0.3614,0,0.5345,0.5345,1,0,"","Dystonia (HP:0001332)-hyperactivity (MP:0001399), ","","Proximity to ABCD4 associated with Methylmalonic aciduria and homocystinuria, cblJ type (OMIM:614857): Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Methylmalonic aciduria (HP:0012120)-Methylmalonic aciduria (HP:0012120), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","",""
"129","VWA3B",200403,0.2972,0.9493,0.1853,0.5944,0,0,0,0.5944,0.5,0,"?Spinocerebellar ataxia, autosomal recessive 22 (OMIM:616948): Spasticity (HP:0001257)-Lower limb spasticity (HP:0002061), Microcephaly (HP:0000252)-Hypoplasia of the corpus callosum (HP:0002079), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","","","","",""
"130","LTBP4",8425,0.25,0.9998,0.1813,0,0,0,0.5,0.5,0.5,0,"","","","Proximity to OCLN associated with Pseudo-TORCH syndrome 1 (OMIM:251290): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Renal insufficiency (HP:0000083), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","Proximity to OCLN Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ",""
"131","DDRGK1",65992,0.2501,0.9995,0.181,0,0,0,0.5002,0.5002,0.5,0,"","","","","Proximity to CDK5R1 Spasticity (HP:0001257)-ectopic Purkinje cell (MP:0000885), Dystonia (HP:0001332)-hyperactivity (MP:0001399), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-dilated lateral ventricles (MP:0000825), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-abnormal cerebellar molecular layer (MP:0000889), ","Proximity to CDK5R1 Spasticity (HP:0001257)-abnormal(ly) morphology retinal inner plexiform layer (ZP:0009492), Cataract (HP:0000518)-abnormal(ly) morphology retina (ZP:0000048), "
"132","CHIT1",1118,0.2506,0.9973,0.1788,0,0,0,0.5012,0.5012,0.5,0,"","","","Proximity to GBA2 associated with Spastic paraplegia 46, autosomal recessive (OMIM:614409): Spasticity (HP:0001257)-Upper limb spasticity (HP:0006986), Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Urinary incontinence (HP:0000020), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to GBA2 Methylmalonic aciduria (HP:0012120)-decreased circulating creatinine level (MP:0005554), ","Proximity to GBA2 Spasticity (HP:0001257)-abnormal(ly) morphology spinal cord motor neuron (ZP:0008793), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal(ly) morphology spinal cord motor neuron (ZP:0008793), "
"133","CNTN1",1272,0.2552,0.9913,0.1778,0.247,0.5104,0,0.5031,0.5104,0.5,0,"?Myopathy, congenital, Compton-North (OMIM:612540): Microcephaly (HP:0000252)-Dolichocephaly (HP:0000268), ","Spasticity (HP:0001257)-ataxia (MP:0001393), Dystonia (HP:0001332)-abnormal gait (MP:0001406), Cerebellar atrophy (HP:0001272)-small cerebellum (MP:0000852), ","","Proximity to L1CAM associated with CRASH syndrome (OMIM:303350): Spasticity (HP:0001257)-Spastic paraplegia (HP:0001258), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), ","Proximity to L1CAM Spasticity (HP:0001257)-abnormal hippocampus morphology (MP:0000807), Microcephaly (HP:0000252)-enlarged cranium (MP:0000439), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal hippocampus morphology (MP:0000807), Cerebellar atrophy (HP:0001272)-cerebellum atrophy (MP:0014185), ","Proximity to L1CAM Spasticity (HP:0001257)-abnormal(ly) disrupted axonal fasciculation (ZP:0000962), "
"134","COL4A4",1286,0.2528,0.9941,0.1778,0.5055,0.411,0,0.5029,0.5055,0.5,0,"Alport syndrome, autosomal recessive (OMIM:203780): Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Proteinuria (HP:0000093), ","Methylmalonic aciduria (HP:0012120)-leukocyturia (MP:0011418), ","","Proximity to COL18A1 associated with Knobloch syndrome, type 1 (OMIM:267750): Spasticity (HP:0001257)-Polymicrogyria (HP:0002126), Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Cataract (HP:0000518)-Congenital cataract (HP:0000519), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to COL18A1 Spasticity (HP:0001257)-dilated lateral ventricles (MP:0000825), Microcephaly (HP:0000252)-enlarged cranium (MP:0000439), Methylmalonic aciduria (HP:0012120)-increased circulating creatinine level (MP:0005553), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-dilated lateral ventricles (MP:0000825), Cerebellar atrophy (HP:0001272)-dilated fourth ventricle (MP:0000829), ",""
"135","RUBCN",9711,0.2501,0.9968,0.1774,0.4653,0,0,0.5002,0.5002,0.5,0,"?Spinocerebellar ataxia, autosomal recessive 15 (OMIM:615705): Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","","","Proximity to GRID2 associated with Spinocerebellar ataxia, autosomal recessive 18 (OMIM:616204): Spasticity (HP:0001257)-Babinski sign (HP:0003487), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to GRID2 Spasticity (HP:0001257)-ataxia (MP:0001393), Dystonia (HP:0001332)-retropulsion (MP:0010323), Cerebellar atrophy (HP:0001272)-cerebellum atrophy (MP:0014185), ",""
"136","C5orf42",65250,0.2565,0.9867,0.1737,0.4811,0.3888,0,0.5131,0.5131,0.5,0,"Joubert syndrome (ORPHA:475): Spasticity (HP:0001257)-Polymicrogyria (HP:0002126), Microcephaly (HP:0000252)-Aplasia/Hypoplasia of the corpus callosum (HP:0007370), Cataract (HP:0000518)-Iris coloboma (HP:0000612), Ventriculomegaly (HP:0002119)-Hydrocephalus (HP:0000238), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Aplasia/Hypoplasia of the corpus callosum (HP:0007370), Cerebellar atrophy (HP:0001272)-Cerebellar vermis hypoplasia (HP:0001320), ","Methylmalonic aciduria (HP:0012120)-kidney cysts (MP:0003675), Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ","","Proximity to NIPBL associated with Cornelia de Lange syndrome (ORPHA:199): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Renal insufficiency (HP:0000083), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Aplasia/Hypoplasia of the cerebellum (HP:0007360), ","Proximity to NIPBL Spasticity (HP:0001257)-decreased corpus callosum size (MP:0000781), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Abnormal basal ganglia MRI signal intensity (HP:0012751)-decreased corpus callosum size (MP:0000781), Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ","Proximity to NIPBL Cerebellar atrophy (HP:0001272)-abnormal(ly) decreased size brain (ZP:0000711), "
"137","AMH",268,0.2501,0.9922,0.1712,0,0,0,0.5001,0.5001,0.5,0,"","","","","Proximity to SP9 Spasticity (HP:0001257)-decreased neuronal precursor proliferation (MP:0020394), Microcephaly (HP:0000252)-abnormal striatum morphology (MP:0004077), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-decreased brain weight (MP:0002175), ",""
"138","ANKRD36",375248,0.2425,1,0.1703,0,0.2425,0,0,0.2425,1,0,"","Methylmalonic aciduria (HP:0012120)-increased circulating free fatty acid level (MP:0001554), ","","","",""
"139","CSTA",1475,0.25,0.9868,0.1643,0,0,0,0.5,0.5,0.5,0,"","","","Proximity to COL18A1 associated with Knobloch syndrome, type 1 (OMIM:267750): Spasticity (HP:0001257)-Polymicrogyria (HP:0002126), Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Cataract (HP:0000518)-Congenital cataract (HP:0000519), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to COL18A1 Spasticity (HP:0001257)-dilated lateral ventricles (MP:0000825), Microcephaly (HP:0000252)-enlarged cranium (MP:0000439), Methylmalonic aciduria (HP:0012120)-increased circulating creatinine level (MP:0005553), Ventriculomegaly (HP:0002119)-enlarged brain ventricles (MP:0011380), Abnormal basal ganglia MRI signal intensity (HP:0012751)-dilated lateral ventricles (MP:0000825), Cerebellar atrophy (HP:0001272)-dilated fourth ventricle (MP:0000829), ",""
"140","GRK1",6011,0.2514,0.9828,0.1612,0.1502,0.1644,0,0.5028,0.5028,0.5,0,"Congenital stationary night blindness (ORPHA:215): Microcephaly (HP:0000252)-Optic disc hypoplasia (HP:0007766), ","Cerebellar atrophy (HP:0001272)-retinal photoreceptor degeneration (MP:0008450), ","","Proximity to OCLN associated with Pseudo-TORCH syndrome 1 (OMIM:251290): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-Renal insufficiency (HP:0000083), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","Proximity to OCLN Cerebellar atrophy (HP:0001272)-abnormal cerebellum morphology (MP:0000849), ",""
"141","SLC30A10",55532,0.2607,0.9703,0.1588,0.5215,0.2308,0,0,0.5215,0.5,0,"Hypermanganesemia with dystonia 1 (OMIM:613280): Spasticity (HP:0001257)-Spastic paraparesis (HP:0002313), Dystonia (HP:0001332)-Dystonia (HP:0001332), ","Methylmalonic aciduria (HP:0012120)-decreased circulating thyroxine level (MP:0005478), ","","","",""
"142","VPS13B",157680,0.2322,0.9884,0.1423,0.4645,0,0,0,0.4645,0.5,0,"Cohen syndrome (OMIM:216550): Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Thick corpus callosum (HP:0007074), Cerebellar atrophy (HP:0001272)-Cerebellar hypoplasia (HP:0001321), ","","","","",""
"143","BIN1",274,0.25,0.968,0.142,0,0,0,0.5001,0.5001,0.5,0,"","","","Proximity to ATXN2 associated with Spinocerebellar ataxia type 2 (ORPHA:98756): Spasticity (HP:0001257)-Abnormal cortical gyration (HP:0002536), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral white matter atrophy (HP:0012762), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the substantia nigra (HP:0045007), Cerebellar atrophy (HP:0001272)-Cerebellar Purkinje layer atrophy (HP:0012082), ","Proximity to ATXN2 Dystonia (HP:0001332)-impaired coordination (MP:0001405), Cerebellar atrophy (HP:0001272)-abnormal Purkinje cell morphology (MP:0000877), ",""
"144","ASNA1",439,0.5002,0.6733,0.1295,0,0,0,0.5002,0.5002,1,0,"","","","Proximity to SUMF1 associated with Multiple sulfatase deficiency (OMIM:272200): Spasticity (HP:0001257)-Spasticity (HP:0001257), Microcephaly (HP:0000252)-Cerebral atrophy (HP:0002059), Cataract (HP:0000518)-Corneal opacity (HP:0007957), Methylmalonic aciduria (HP:0012120)-Mucopolysacchariduria (HP:0008155), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Abnormality of the periventricular white matter (HP:0002518), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","Proximity to SUMF1 Spasticity (HP:0001257)-increased neuron apoptosis (MP:0003203), Microcephaly (HP:0000252)-decreased cranium height (MP:0008525), Cerebellar atrophy (HP:0001272)-abnormal cerebellar cortex morphology (MP:0004097), ",""
"145","B4GALT7",11285,0.25,0.9448,0.1179,0.2365,0,0.3367,0.5001,0.5001,0.5,0,"Ehlers-Danlos syndrome, spondylodysplastic type, 1 (OMIM:130070): Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), ","","Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), ","Proximity to DAG1 associated with Muscular dystrophy-dystroglycanopathy (OMIM:616538): Spasticity (HP:0001257)-Polymicrogyria (HP:0002126), Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Cataract (HP:0000518)-Cataract (HP:0000518), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebellar cyst (HP:0002350), ","","Proximity to DAG1 Cataract (HP:0000518)-abnormal(ly) malformed lens (ZP:0002943), Cerebellar atrophy (HP:0001272)-abnormal(ly) disorganized granular layer corpus cerebelli (ZP:0002948), "
"146","TRMT5",57570,0.25,0.9153,0.0925,0.4713,0,0,0.5,0.5,0.5,0,"Combined oxidative phosphorylation deficiency 26 (OMIM:616539): Spasticity (HP:0001257)-Spasticity (HP:0001257), Cerebellar atrophy (HP:0001272)-Brain atrophy (HP:0012444), ","","","Proximity to MTFMT associated with Leigh syndrome with leukodystrophy (ORPHA:255241): Spasticity (HP:0001257)-Progressive spastic paraplegia (HP:0007020), Dystonia (HP:0001332)-Dystonia (HP:0001332), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Focal T2 hyperintense basal ganglia lesion (HP:0007183), Cerebellar atrophy (HP:0001272)-Optic atrophy (HP:0000648), ","",""
"147","ALX3",257,0.25,0.888,0.0735,0.4891,0,0,0.5,0.5,0.5,0,"Frontonasal dysplasia 1 (OMIM:136760): Microcephaly (HP:0000252)-Agenesis of corpus callosum (HP:0001274), Cataract (HP:0000518)-Cataract (HP:0000518), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Agenesis of corpus callosum (HP:0001274), ","","","Proximity to MRE11 associated with Ataxia-telangiectasia-like disorder (ORPHA:251347): Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebellar vermis hypoplasia (HP:0001320), Ventriculomegaly (HP:0002119)-Enlarged interhemispheric fissure (HP:0100953), Cerebellar atrophy (HP:0001272)-Cerebellar atrophy (HP:0001272), ","",""
"148","CROCC",9696,0.1644,0.9822,0.0718,0,0.1644,0,0,0.1644,1,0,"","Cerebellar atrophy (HP:0001272)-retinal photoreceptor degeneration (MP:0008450), ","","","",""
"149","ADGRE2",30817,0.5,0.6016,0.0714,0,0,0,0.5,0.5,1,0,"","","","Proximity to HTRA2 associated with 3-methylglutaconic aciduria, type VIII (OMIM:617248): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Postnatal microcephaly (HP:0005484), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-3-Methylglutaconic aciduria (HP:0003535), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","Proximity to HTRA2 Spasticity (HP:0001257)-dystonia (MP:0005323), Dystonia (HP:0001332)-dystonia (MP:0005323), Cerebellar atrophy (HP:0001272)-neurodegeneration (MP:0002229), ",""
"150","TPTE",7179,0.5,0.6011,0.071,0,0,0,0.5,0.5,1,0,"","","","Proximity to HTRA2 associated with 3-methylglutaconic aciduria, type VIII (OMIM:617248): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Postnatal microcephaly (HP:0005484), Cataract (HP:0000518)-Cataract (HP:0000518), Methylmalonic aciduria (HP:0012120)-3-Methylglutaconic aciduria (HP:0003535), Ventriculomegaly (HP:0002119)-Ventriculomegaly (HP:0002119), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Hypoplasia of the corpus callosum (HP:0002079), Cerebellar atrophy (HP:0001272)-Cerebral atrophy (HP:0002059), ","Proximity to HTRA2 Spasticity (HP:0001257)-dystonia (MP:0005323), Dystonia (HP:0001332)-dystonia (MP:0005323), Cerebellar atrophy (HP:0001272)-neurodegeneration (MP:0002229), ",""
"151","CLSPN",63967,0.5036,0.5923,0.0683,0,0,0,0.5036,0.5036,1,0,"","","","Proximity to ATR associated with Seckel syndrome 1 (OMIM:210600): Spasticity (HP:0001257)-Pachygyria (HP:0001302), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Abnormal basal ganglia MRI signal intensity (HP:0012751)-Large basal ganglia (HP:0007048), Cerebellar atrophy (HP:0001272)-Cerebellar vermis hypoplasia (HP:0001320), ","Proximity to ATR Spasticity (HP:0001257)-absent corpus callosum (MP:0002196), Microcephaly (HP:0000252)-microcephaly (MP:0000433), Abnormal basal ganglia MRI signal intensity (HP:0012751)-absent corpus callosum (MP:0002196), Cerebellar atrophy (HP:0001272)-decreased brain size (MP:0000774), ","Proximity to ATR Microcephaly (HP:0000252)-abnormal(ly) decreased size head (ZP:0000054), "
"152","ZNF503",84858,0.2364,0.85,0.0463,0,0,0.2364,0,0.2364,1,0,"","","Spasticity (HP:0001257)-abnormal(ly) split retinal pigmented epithelium (ZP:0001617), Cataract (HP:0000518)-abnormal(ly) malformed retina (ZP:0000187), ","","",""
"153","ZNF469",84627,0.25,0.8144,0.0388,0.3402,0,0,0.5,0.5,0.5,0,"Brittle cornea syndrome 1 (OMIM:229200): Microcephaly (HP:0000252)-Macrocephaly (HP:0000256), Cataract (HP:0000518)-Decreased corneal thickness (HP:0100689), ","","","","Proximity to CDK5R1 Spasticity (HP:0001257)-ectopic Purkinje cell (MP:0000885), Dystonia (HP:0001332)-hyperactivity (MP:0001399), Microcephaly (HP:0000252)-abnormal cerebral cortex morphology (MP:0000788), Ventriculomegaly (HP:0002119)-dilated lateral ventricles (MP:0000825), Abnormal basal ganglia MRI signal intensity (HP:0012751)-abnormal striatum morphology (MP:0004077), Cerebellar atrophy (HP:0001272)-abnormal cerebellar molecular layer (MP:0000889), ","Proximity to CDK5R1 Spasticity (HP:0001257)-abnormal(ly) morphology retinal inner plexiform layer (ZP:0009492), Cataract (HP:0000518)-abnormal(ly) morphology retina (ZP:0000048), "
"154","GPS1",2873,0.5001,0.5247,0.0366,0,0,0,0.5001,0.5001,1,0,"","","","Proximity to MMADHC associated with Homocystinuria, cblD type, variant 1 (OMIM:277410): Spasticity (HP:0001257)-Cerebral cortical atrophy (HP:0002120), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Cerebral cortical atrophy (HP:0002120), Methylmalonic aciduria (HP:0012120)-Methylmalonic aciduria (HP:0012120), Cerebellar atrophy (HP:0001272)-Cerebral cortical atrophy (HP:0002120), ","",""
"155","DDC",1644,0.2711,0.7275,0.0221,0.5423,0.4218,0.2943,0.5004,0.5423,0.5,0,"Aromatic L-amino acid decarboxylase deficiency (OMIM:608643): Spasticity (HP:0001257)-Limb hypertonia (HP:0002509), Dystonia (HP:0001332)-Limb dystonia (HP:0002451), Cataract (HP:0000518)-Miosis (HP:0000616), ","Dystonia (HP:0001332)-abnormal locomotor activation (MP:0003313), ","Spasticity (HP:0001257)-abnormal(ly) spatial pattern diencephalon dopaminergic neuron (ZP:0006361), Cerebellar atrophy (HP:0001272)-abnormal(ly) decreased volume brain (ZP:0006359), ","Proximity to QDPR associated with Hyperphenylalaninemia, BH4-deficient, C (OMIM:261630): Spasticity (HP:0001257)-Hypertonia (HP:0001276), Dystonia (HP:0001332)-Dystonia (HP:0001332), Microcephaly (HP:0000252)-Microcephaly (HP:0000252), Methylmalonic aciduria (HP:0012120)-Hyperphenylalaninemia (HP:0004923), ","Proximity to QDPR Methylmalonic aciduria (HP:0012120)-increased circulating homocysteine level (MP:0012335), ",""
"156","ADARB2",105,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"157","CROCCP2",84809,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"158","DOPEY1",23033,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"159","EPPK1",83481,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"160","FAM201B",339742,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"161","GAL3ST4",79690,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"162","HSDL2",84263,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"163","OR4C3",256144,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"164","SFMBT2",57713,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"165","SRGAP2B",647135,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"166","ZNF726",730087,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"167","ZNF806",646915,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"168","TMEM179B",374395,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"169","PDPR",55066,0,1,0.0162,0,0,0,0,0,1,0,"","","","","",""
"170","RFX8",731220,0,0.9998,0.0162,0,0,0,0,0,1,0,"","","","","",""
"171","C2orf81",388963,0,0.9998,0.0162,0,0,0,0,0,1,0,"","","","","",""
"172","RHBDF2",79651,0,0.9996,0.0162,0,0,0,0,0,1,0,"","","","","",""
"173","ZNF506",440515,0,0.9992,0.0161,0,0,0,0,0,1,0,"","","","","",""
"174","TDRD5",163589,0,0.9989,0.0161,0,0,0,0,0,1,0,"","","","","",""
"175","TMEM117",84216,0,0.9984,0.016,0,0,0,0,0,1,0,"","","","","",""
"176","DHRS7C",201140,0,0.9984,0.016,0,0,0,0,0,1,0,"","","","","",""
"177","MFSD14A",64645,0,0.9982,0.016,0,0,0,0,0,1,0,"","","","","",""
"178","GPRIN2",9721,0,0.9974,0.0159,0,0,0,0,0,1,0,"","","","","",""
"179","OR9G1",390174,0,0.9962,0.0157,0,0,0,0,0,1,0,"","","","","",""
"180","ZNF141",7700,0,0.9962,0.0157,0,0,0,0,0,0.5,0,"","","","","",""
"181","IGSF9",57549,0,0.996,0.0157,0,0,0,0,0,1,0,"","","","","",""
"182","RHBDD1",84236,0,0.9954,0.0156,0,0,0,0,0,1,0,"","","","","",""
"183","FAM166A",401565,0,0.995,0.0155,0,0,0,0,0,1,0,"","","","","",""
"184","EFHB",151651,0,0.994,0.0154,0,0,0,0,0,1,0,"","","","","",""
"185","CFAP36",112942,0,0.992,0.0151,0,0,0,0,0,1,0,"","","","","",""
"186","VWA5B2",90113,0,0.9911,0.015,0,0,0,0,0,1,0,"","","","","",""
"187","KDELC2",143888,0,0.9895,0.0148,0,0,0,0,0,1,0,"","","","","",""
"188","ZNF844",284391,0,0.9888,0.0147,0,0,0,0,0,1,0,"","","","","",""
"189","VPS35L",57020,0,0.9883,0.0146,0,0,0,0,0,1,0,"","","","","",""
"190","SRRM5",100170229,0,0.9876,0.0145,0,0,0,0,0,1,0,"","","","","",""
"191","FAM160B2",64760,0,0.9859,0.0143,0,0,0,0,0,1,0,"","","","","",""
"192","CCDC170",80129,0,0.9851,0.0142,0,0,0,0,0,1,0,"","","","","",""
"193","LOC101927707",101927707,0,0.9829,0.0139,0,0,0,0,0,1,0,"","","","","",""
"194","CCDC81",60494,0,0.9812,0.0137,0,0,0,0,0,1,0,"","","","","",""
"195","CYLC2",1539,0,0.9709,0.0125,0,0,0,0,0,1,0,"","","","","",""
"196","SSUH2",51066,0,0.9671,0.0121,0,0,0,0,0,1,0,"","","","","",""
"197","SIAE",54414,0,0.9644,0.0118,0,0,0,0,0,1,0,"","","","","",""
"198","SGK2",10110,0,0.9606,0.0114,0,0,0,0,0,1,0,"","","","","",""
"199","LOC101927530",101927530,0,0.9572,0.011,0,0,0,0,0,1,0,"","","","","",""
"200","IQUB",154865,0,0.9546,0.0108,0,0,0,0,0,1,0,"","","","","",""
"201","LOC101928396",101928396,0,0.9532,0.0106,0,0,0,0,0,1,0,"","","","","",""
"202","LOC100996481",100996481,0,0.9484,0.0102,0,0,0,0,0,1,0,"","","","","",""
"203","CBY3",646019,0,0.9429,0.0097,0,0,0,0,0,1,0,"","","","","",""
"204","MAPK15",225689,0,0.9403,0.0094,0,0,0,0,0,1,0,"","","","","",""
"205","HDGFL2",84717,0,0.9344,0.009,0,0,0,0,0,1,0,"","","","","",""
"206","SYT15",83849,0,0.9344,0.009,0,0,0,0,0,1,0,"","","","","",""
"207","VPS13D",55187,0,0.9326,0.0088,0,0,0,0,0,1,0,"","","","","",""
"208","ZFR2",23217,0,0.9176,0.0077,0,0,0,0,0,1,0,"","","","","",""
"209","NAV3",89795,0,0.9141,0.0074,0,0,0,0,0,1,0,"","","","","",""
"210","EPYC",1833,0,0.9101,0.0072,0,0,0,0,0,1,0,"","","","","",""
